20.9.2012 17:04:02;2,0;1,2;2,0;1,8;1,9;102282;22;13;-8,1
20.9.2012 17:04:27;2,0;1,2;2,0;1,8;1,9;102283;22;13;-8,1
20.9.2012 17:04:52;2,0;1,2;2,0;1,8;1,9;102283;22;13;-8,1
20.9.2012 17:05:17;2,0;1,2;2,0;1,8;1,9;102297;23;13;-7,6
20.9.2012 17:05:42;2,0;1,2;2,0;1,8;1,9;102292;22;13;-8,1
20.9.2012 17:06:07;2,0;1,2;2,0;1,8;1,9;102294;22;13;-8,1
20.9.2012 18:51:16;1,9;1,0;1,9;1,7;1,8;102327;27;11;-7,2
20.9.2012 18:51:41;1,9;1,0;1,9;1,7;1,8;102329;27;11;-7,2
20.9.2012 18:52:06;1,9;1,0;1,9;1,7;1,8;102330;27;11;-7,2
20.9.2012 18:52:32;1,9;1,0;1,9;1,7;1,8;102337;27;11;-7,2
20.9.2012 18:52:57;1,9;1,0;1,9;1,7;1,7;102327;27;11;-7,2
20.9.2012 18:53:22;1,9;1,0;1,9;1,7;1,8;102334;27;11;-7,2
20.9.2012 18:53:47;1,9;1,0;1,9;1,7;1,7;102325;27;11;-7,2
20.9.2012 18:54:12;1,9;1,0;1,9;1,7;1,7;102323;27;11;-7,2
20.9.2012 18:54:37;1,9;1,0;1,9;1,7;1,7;102326;27;11;-7,2
20.9.2012 18:55:02;1,9;1,0;1,9;1,7;1,7;102328;27;11;-7,2
20.9.2012 18:56:26;1,9;1,0;1,9;1,7;1,7;102336;27;11;-7,2
20.9.2012 18:56:51;1,9;1,0;1,9;1,7;1,7;102340;27;11;-7,2
20.9.2012 18:58:27;1,9;1,0;1,9;1,7;1,7;102332;28;11;-6,7
20.9.2012 18:58:52;1,9;1,0;1,9;1,7;1,7;102348;28;11;-6,7
20.9.2012 18:59:17;1,9;1,0;1,9;1,7;1,7;102343;28;11;-6,7
20.9.2012 18:59:42;1,9;1,0;1,9;1,7;1,7;102343;28;11;-6,7
20.9.2012 19:00:07;1,9;1,0;1,9;1,7;1,7;102354;28;11;-6,7
20.9.2012 19:00:32;1,9;1,0;1,9;1,7;1,7;102353;28;11;-6,7
20.9.2012 19:00:57;1,9;1,0;2,0;1,7;1,7;102346;28;11;-6,7
20.9.2012 19:01:23;1,9;1,0;1,9;1,7;1,7;102348;28;11;-6,7
20.9.2012 19:01:48;1,9;1,0;1,9;1,7;1,7;102353;28;11;-6,7
20.9.2012 19:02:13;1,9;1,0;2,0;1,7;1,7;102352;28;11;-6,7
20.9.2012 19:02:38;1,9;1,0;2,0;1,7;1,7;102334;28;11;-6,7
20.9.2012 19:03:04;1,9;1,0;2,0;1,7;1,7;102347;28;11;-6,7
20.9.2012 19:03:29;1,9;1,0;2,0;1,7;1,7;102359;28;11;-6,7
20.9.2012 19:03:54;1,9;1,0;2,0;1,7;1,7;102348;28;11;-6,7
20.9.2012 19:04:19;1,9;1,0;2,0;1,7;1,7;102354;28;11;-6,7
20.9.2012 19:04:44;1,9;1,0;2,0;1,7;1,7;102349;28;11;-6,7
20.9.2012 19:05:09;1,9;1,0;2,0;1,7;1,7;102349;28;11;-6,7
20.9.2012 19:05:34;1,9;1,0;2,0;1,7;1,7;102362;28;11;-6,7
20.9.2012 19:05:59;1,9;1,0;2,0;1,7;1,7;102348;28;11;-6,7
20.9.2012 19:06:24;1,9;1,0;2,0;1,7;1,7;102349;28;11;-6,7
20.9.2012 19:06:49;1,9;1,0;2,0;1,7;1,7;102351;28;11;-6,7
